RetainedRef	DuplicateRef
ENSMUST00000180462.1	ENSMUST00000181013.1
ENSMUST00000197128.1	ENSMUST00000199753.1
ENSMUST00000189523.1	ENSMUST00000187988.1
ENSMUST00000189523.1	ENSMUST00000185774.6
ENSMUST00000189523.1	ENSMUST00000191394.1
ENSMUST00000189523.1	ENSMUST00000189356.1
ENSMUST00000189523.1	ENSMUST00000187534.1
ENSMUST00000172465.1	ENSMUST00000174012.1
ENSMUST00000172465.1	ENSMUST00000173423.1
ENSMUST00000187503.6	ENSMUST00000190539.1
ENSMUST00000178230.1	ENSMUST00000178549.1
ENSMUST00000186066.1	ENSMUST00000190836.1
ENSMUST00000128191.7	ENSMUST00000155337.7
ENSMUST00000128191.7	ENSMUST00000127852.1
ENSMUST00000178492.2	ENSMUST00000175065.2
ENSMUST00000178492.2	ENSMUST00000179750.1
ENSMUST00000178492.2	ENSMUST00000178138.1
ENSMUST00000199565.1	ENSMUST00000204132.1
ENSMUST00000191786.1	ENSMUST00000195140.1
ENSMUST00000158815.1	ENSMUST00000158590.1
ENSMUST00000124342.7	ENSMUST00000186265.5
ENSMUST00000187506.1	ENSMUST00000188694.1
ENSMUST00000102024.1	ENSMUST00000083360.1
ENSMUST00000102024.1	ENSMUST00000083839.1
ENSMUST00000195821.1	ENSMUST00000189114.1
ENSMUST00000238932.1	ENSMUST00000115086.12
ENSMUST00000222795.1	ENSMUST00000224301.1
ENSMUST00000219637.1	ENSMUST00000219220.1
ENSMUST00000174924.2	ENSMUST00000175032.2
ENSMUST00000098747.1	ENSMUST00000098722.1
ENSMUST00000179874.1	ENSMUST00000180344.7
ENSMUST00000187931.1	ENSMUST00000185371.1
ENSMUST00000191123.1	ENSMUST00000189238.1
ENSMUST00000163462.1	ENSMUST00000170469.1
ENSMUST00000238566.1	ENSMUST00000238354.1
ENSMUST00000238566.1	ENSMUST00000238269.1
ENSMUST00000238566.1	ENSMUST00000238302.1
ENSMUST00000238566.1	ENSMUST00000238604.1
ENSMUST00000238566.1	ENSMUST00000238549.1
ENSMUST00000108778.7	ENSMUST00000165416.7
ENSMUST00000173055.2	ENSMUST00000178654.1
ENSMUST00000128068.7	ENSMUST00000132592.1
ENSMUST00000098152.2	ENSMUST00000217827.1
ENSMUST00000180356.1	ENSMUST00000180055.1
ENSMUST00000238927.1	ENSMUST00000098792.9
ENSMUST00000198228.1	ENSMUST00000197780.1
ENSMUST00000198228.1	ENSMUST00000196168.1
ENSMUST00000190904.1	ENSMUST00000188020.1
ENSMUST00000178225.1	ENSMUST00000177753.1
ENSMUST00000178338.1	ENSMUST00000179405.1
ENSMUST00000178338.1	ENSMUST00000179164.1
ENSMUST00000178338.1	ENSMUST00000177610.1
ENSMUST00000178338.1	ENSMUST00000178434.1
ENSMUST00000178338.1	ENSMUST00000177611.1
ENSMUST00000178338.1	ENSMUST00000178357.1
ENSMUST00000178338.1	ENSMUST00000177781.1
ENSMUST00000178338.1	ENSMUST00000179825.1
ENSMUST00000178338.1	ENSMUST00000177865.1
ENSMUST00000178338.1	ENSMUST00000177628.1
ENSMUST00000178338.1	ENSMUST00000177580.1
ENSMUST00000178338.1	ENSMUST00000178965.1
ENSMUST00000178338.1	ENSMUST00000177833.1
ENSMUST00000178338.1	ENSMUST00000178044.1
ENSMUST00000178338.1	ENSMUST00000179190.1
ENSMUST00000178338.1	ENSMUST00000179661.1
ENSMUST00000178338.1	ENSMUST00000179861.1
ENSMUST00000178338.1	ENSMUST00000179740.1
ENSMUST00000178338.1	ENSMUST00000178127.1
ENSMUST00000178338.1	ENSMUST00000178104.1
ENSMUST00000178338.1	ENSMUST00000179011.1
ENSMUST00000178338.1	ENSMUST00000179576.1
ENSMUST00000178338.1	ENSMUST00000179403.1
ENSMUST00000178338.1	ENSMUST00000179530.1
ENSMUST00000178338.1	ENSMUST00000177976.1
ENSMUST00000178338.1	ENSMUST00000179827.1
ENSMUST00000178338.1	ENSMUST00000178406.1
ENSMUST00000178338.1	ENSMUST00000178924.1
ENSMUST00000178338.1	ENSMUST00000178242.1
ENSMUST00000178338.1	ENSMUST00000178367.1
ENSMUST00000178338.1	ENSMUST00000179778.1
ENSMUST00000178338.1	ENSMUST00000177782.1
ENSMUST00000173375.1	ENSMUST00000044204.11
ENSMUST00000192749.1	ENSMUST00000194411.1
ENSMUST00000083833.1	ENSMUST00000082768.1
ENSMUST00000083833.1	ENSMUST00000083317.1
ENSMUST00000083833.1	ENSMUST00000084010.1
ENSMUST00000026270.8	ENSMUST00000239083.1
ENSMUST00000191793.1	ENSMUST00000190489.1
ENSMUST00000194582.1	ENSMUST00000195789.1
ENSMUST00000207908.1	ENSMUST00000207321.1
ENSMUST00000236819.1	ENSMUST00000238165.1
ENSMUST00000180094.1	ENSMUST00000177866.1
ENSMUST00000192579.1	ENSMUST00000194577.5
ENSMUST00000239400.1	ENSMUST00000177053.7
ENSMUST00000178483.1	ENSMUST00000193012.1
ENSMUST00000178483.1	ENSMUST00000170385.1
ENSMUST00000126220.2	ENSMUST00000089275.3
ENSMUST00000180212.1	ENSMUST00000179283.1
ENSMUST00000180212.1	ENSMUST00000177816.1
ENSMUST00000187889.1	ENSMUST00000190023.1
ENSMUST00000187889.1	ENSMUST00000189757.1
ENSMUST00000187889.1	ENSMUST00000189703.1
ENSMUST00000187889.1	ENSMUST00000186629.1
ENSMUST00000187889.1	ENSMUST00000186714.1
ENSMUST00000187889.1	ENSMUST00000189175.1
ENSMUST00000187889.1	ENSMUST00000187412.1
ENSMUST00000141200.1	ENSMUST00000132768.1
ENSMUST00000120695.1	ENSMUST00000212360.1
ENSMUST00000186218.1	ENSMUST00000186623.1
ENSMUST00000186218.1	ENSMUST00000185963.1
ENSMUST00000186218.1	ENSMUST00000186862.1
ENSMUST00000200547.1	ENSMUST00000198628.1
ENSMUST00000200547.1	ENSMUST00000184171.1
ENSMUST00000200547.1	ENSMUST00000185073.1
ENSMUST00000187950.1	ENSMUST00000185769.1
ENSMUST00000187950.1	ENSMUST00000185608.1
ENSMUST00000187950.1	ENSMUST00000187813.6
ENSMUST00000187950.1	ENSMUST00000187840.1
ENSMUST00000187950.1	ENSMUST00000191313.1
ENSMUST00000187950.1	ENSMUST00000188129.1
ENSMUST00000187950.1	ENSMUST00000186673.1
ENSMUST00000187950.1	ENSMUST00000187715.1
ENSMUST00000187950.1	ENSMUST00000186318.1
ENSMUST00000187950.1	ENSMUST00000187054.1
ENSMUST00000189237.1	ENSMUST00000188256.1
ENSMUST00000179371.1	ENSMUST00000102099.2
ENSMUST00000103597.2	ENSMUST00000103623.2
ENSMUST00000157318.1	ENSMUST00000102326.1
ENSMUST00000157318.1	ENSMUST00000102303.1
ENSMUST00000193488.1	ENSMUST00000192881.1
ENSMUST00000193488.1	ENSMUST00000195697.1
ENSMUST00000193488.1	ENSMUST00000194996.1
ENSMUST00000193488.1	ENSMUST00000190439.1
ENSMUST00000101021.3	ENSMUST00000101011.3
ENSMUST00000187138.1	ENSMUST00000177578.1
ENSMUST00000063726.4	ENSMUST00000101396.2
ENSMUST00000187056.1	ENSMUST00000188393.1
ENSMUST00000187056.1	ENSMUST00000186728.1
ENSMUST00000187056.1	ENSMUST00000190153.1
ENSMUST00000132250.7	ENSMUST00000156423.1
ENSMUST00000196317.4	ENSMUST00000171313.7
ENSMUST00000103599.2	ENSMUST00000103625.2
ENSMUST00000183050.1	ENSMUST00000182139.1
ENSMUST00000177809.1	ENSMUST00000178726.1
ENSMUST00000177809.1	ENSMUST00000179380.1
ENSMUST00000151942.1	ENSMUST00000146697.1
ENSMUST00000238282.1	ENSMUST00000189566.1
ENSMUST00000238282.1	ENSMUST00000238243.1
ENSMUST00000238282.1	ENSMUST00000238621.1
ENSMUST00000238282.1	ENSMUST00000238326.1
ENSMUST00000238282.1	ENSMUST00000238655.1
ENSMUST00000238282.1	ENSMUST00000238551.1
ENSMUST00000238282.1	ENSMUST00000186631.1
ENSMUST00000192993.1	ENSMUST00000203964.1
ENSMUST00000179988.1	ENSMUST00000180199.1
ENSMUST00000179988.1	ENSMUST00000179934.1
ENSMUST00000099945.5	ENSMUST00000238953.1
ENSMUST00000188415.6	ENSMUST00000191595.6
ENSMUST00000197362.1	ENSMUST00000196532.1
ENSMUST00000190335.1	ENSMUST00000185631.1
ENSMUST00000190335.1	ENSMUST00000186251.1
ENSMUST00000194585.1	ENSMUST00000188571.1
ENSMUST00000194585.1	ENSMUST00000188470.1
ENSMUST00000201148.3	ENSMUST00000071535.9
ENSMUST00000178154.1	ENSMUST00000178417.1
ENSMUST00000189705.1	ENSMUST00000191028.1
ENSMUST00000184973.7	ENSMUST00000185072.7
ENSMUST00000239063.1	ENSMUST00000120573.2
ENSMUST00000178137.1	ENSMUST00000179747.1
ENSMUST00000195825.1	ENSMUST00000187340.1
ENSMUST00000178020.1	ENSMUST00000178680.1
ENSMUST00000178020.1	ENSMUST00000178014.1
ENSMUST00000178020.1	ENSMUST00000178205.1
ENSMUST00000178020.1	ENSMUST00000178170.1
ENSMUST00000178020.1	ENSMUST00000177664.1
ENSMUST00000178082.1	ENSMUST00000177790.1
ENSMUST00000178082.1	ENSMUST00000179320.1
ENSMUST00000117792.1	ENSMUST00000119796.1
ENSMUST00000185583.1	ENSMUST00000185250.6
ENSMUST00000178872.2	ENSMUST00000178182.1
ENSMUST00000113173.7	ENSMUST00000113172.7
ENSMUST00000103600.2	ENSMUST00000103627.2
ENSMUST00000178841.1	ENSMUST00000179354.1
ENSMUST00000178841.1	ENSMUST00000178287.1
ENSMUST00000178841.1	ENSMUST00000179931.1
ENSMUST00000187775.6	ENSMUST00000189780.6
ENSMUST00000100811.5	ENSMUST00000100806.5
ENSMUST00000159647.7	ENSMUST00000167155.1
ENSMUST00000186085.6	ENSMUST00000190596.6
ENSMUST00000189684.1	ENSMUST00000189954.1
ENSMUST00000189684.1	ENSMUST00000189900.1
ENSMUST00000181649.1	ENSMUST00000181216.1
ENSMUST00000189340.1	ENSMUST00000186590.1
ENSMUST00000178625.1	ENSMUST00000178146.1
ENSMUST00000178625.1	ENSMUST00000180315.1
ENSMUST00000178625.1	ENSMUST00000179469.1
ENSMUST00000178625.1	ENSMUST00000177821.1
ENSMUST00000178625.1	ENSMUST00000179786.1
ENSMUST00000178625.1	ENSMUST00000178442.1
ENSMUST00000178625.1	ENSMUST00000178963.1
ENSMUST00000178625.1	ENSMUST00000178435.1
ENSMUST00000178625.1	ENSMUST00000178441.1
ENSMUST00000178625.1	ENSMUST00000178223.1
ENSMUST00000178625.1	ENSMUST00000179912.1
ENSMUST00000178625.1	ENSMUST00000178502.1
ENSMUST00000178625.1	ENSMUST00000180314.1
ENSMUST00000178625.1	ENSMUST00000179035.1
ENSMUST00000178625.1	ENSMUST00000177909.1
ENSMUST00000178625.1	ENSMUST00000178607.1
ENSMUST00000178625.1	ENSMUST00000178272.1
ENSMUST00000178625.1	ENSMUST00000179737.1
ENSMUST00000178625.1	ENSMUST00000180107.1
ENSMUST00000178625.1	ENSMUST00000178776.1
ENSMUST00000178625.1	ENSMUST00000179129.1
ENSMUST00000178625.1	ENSMUST00000179805.1
ENSMUST00000186429.1	ENSMUST00000191009.1
ENSMUST00000181759.7	ENSMUST00000181701.7
ENSMUST00000181759.7	ENSMUST00000225749.1
ENSMUST00000050044.4	ENSMUST00000219631.1
ENSMUST00000207803.1	ENSMUST00000207467.1
ENSMUST00000188286.1	ENSMUST00000186029.1
ENSMUST00000158253.1	ENSMUST00000157464.2
ENSMUST00000208932.1	ENSMUST00000050983.1
ENSMUST00000191901.5	ENSMUST00000194080.1
ENSMUST00000178325.1	ENSMUST00000179448.1
ENSMUST00000178325.1	ENSMUST00000179311.1
ENSMUST00000178325.1	ENSMUST00000178655.1
ENSMUST00000178325.1	ENSMUST00000179552.1
ENSMUST00000239320.1	ENSMUST00000058635.4
ENSMUST00000187865.6	ENSMUST00000185816.6
ENSMUST00000178954.1	ENSMUST00000177687.1
ENSMUST00000178954.1	ENSMUST00000175112.1
ENSMUST00000178954.1	ENSMUST00000175102.1
ENSMUST00000178954.1	ENSMUST00000175565.1
ENSMUST00000178954.1	ENSMUST00000175193.1
ENSMUST00000178954.1	ENSMUST00000178322.1
ENSMUST00000178954.1	ENSMUST00000178068.1
ENSMUST00000178954.1	ENSMUST00000178007.1
ENSMUST00000178954.1	ENSMUST00000175264.1
ENSMUST00000178954.1	ENSMUST00000175237.1
ENSMUST00000178954.1	ENSMUST00000175169.1
ENSMUST00000178954.1	ENSMUST00000174994.1
ENSMUST00000178954.1	ENSMUST00000175283.1
ENSMUST00000178954.1	ENSMUST00000175560.1
ENSMUST00000198665.1	ENSMUST00000197439.1
ENSMUST00000198665.1	ENSMUST00000196127.1
ENSMUST00000198665.1	ENSMUST00000180364.2
ENSMUST00000198665.1	ENSMUST00000200268.1
ENSMUST00000198665.1	ENSMUST00000200087.1
ENSMUST00000198665.1	ENSMUST00000197745.1
ENSMUST00000198665.1	ENSMUST00000197952.1
ENSMUST00000198665.1	ENSMUST00000197274.1
ENSMUST00000239421.1	ENSMUST00000097587.4
ENSMUST00000178456.1	ENSMUST00000179866.1
ENSMUST00000188308.1	ENSMUST00000188272.1
ENSMUST00000196861.1	ENSMUST00000058728.9
ENSMUST00000104806.2	ENSMUST00000198224.1
ENSMUST00000104806.2	ENSMUST00000198934.1
ENSMUST00000190017.1	ENSMUST00000194072.1
ENSMUST00000189343.1	ENSMUST00000191163.1
ENSMUST00000189585.1	ENSMUST00000191177.1
ENSMUST00000226747.1	ENSMUST00000226177.1
ENSMUST00000184085.1	ENSMUST00000184758.1
ENSMUST00000186484.1	ENSMUST00000179024.2
ENSMUST00000187894.6	ENSMUST00000188026.6
ENSMUST00000188434.6	ENSMUST00000191008.1
ENSMUST00000191098.1	ENSMUST00000188769.1
ENSMUST00000187597.6	ENSMUST00000190181.1
ENSMUST00000190590.1	ENSMUST00000189125.1
ENSMUST00000178392.1	ENSMUST00000180138.1
ENSMUST00000187224.1	ENSMUST00000185683.1
ENSMUST00000188953.1	ENSMUST00000190532.1
ENSMUST00000213769.1	ENSMUST00000215557.1
ENSMUST00000177597.1	ENSMUST00000178518.1
ENSMUST00000177597.1	ENSMUST00000179082.1
ENSMUST00000177597.1	ENSMUST00000179157.1
ENSMUST00000075388.12	ENSMUST00000101654.9
ENSMUST00000189442.1	ENSMUST00000187473.1
ENSMUST00000190372.1	ENSMUST00000189276.1
ENSMUST00000184452.7	ENSMUST00000089060.4
ENSMUST00000239395.1	ENSMUST00000032373.11
ENSMUST00000189093.1	ENSMUST00000187703.1
ENSMUST00000121572.1	ENSMUST00000118709.1
ENSMUST00000109050.2	ENSMUST00000185834.2
ENSMUST00000109050.2	ENSMUST00000189494.2
ENSMUST00000119978.1	ENSMUST00000180167.1
ENSMUST00000181229.1	ENSMUST00000184493.1
ENSMUST00000177683.1	ENSMUST00000179359.1
ENSMUST00000177683.1	ENSMUST00000178390.1
ENSMUST00000177683.1	ENSMUST00000123136.1
ENSMUST00000187580.6	ENSMUST00000189569.1
ENSMUST00000188388.6	ENSMUST00000188067.1
ENSMUST00000199522.1	ENSMUST00000199000.1
ENSMUST00000201167.3	ENSMUST00000069705.10
ENSMUST00000191171.1	ENSMUST00000189198.1
ENSMUST00000139102.1	ENSMUST00000154086.7
ENSMUST00000187970.1	ENSMUST00000185757.1
ENSMUST00000195063.1	ENSMUST00000195885.1
ENSMUST00000175382.1	ENSMUST00000175198.1
ENSMUST00000175382.1	ENSMUST00000177685.1
ENSMUST00000177700.7	ENSMUST00000177981.7
ENSMUST00000179061.7	ENSMUST00000178443.1
ENSMUST00000188340.1	ENSMUST00000186908.1
ENSMUST00000188340.1	ENSMUST00000188812.1
ENSMUST00000212949.1	ENSMUST00000172396.7
ENSMUST00000179586.1	ENSMUST00000177615.1
ENSMUST00000184129.1	ENSMUST00000184440.1
ENSMUST00000184129.1	ENSMUST00000184797.1
ENSMUST00000186201.1	ENSMUST00000187654.1
ENSMUST00000070463.9	ENSMUST00000098986.3
ENSMUST00000189329.1	ENSMUST00000190973.1
ENSMUST00000160732.7	ENSMUST00000188073.6
ENSMUST00000190382.1	ENSMUST00000185670.1
ENSMUST00000190382.1	ENSMUST00000190752.1
ENSMUST00000190382.1	ENSMUST00000188301.1
ENSMUST00000068797.2	ENSMUST00000218020.1
ENSMUST00000193996.5	ENSMUST00000189627.1
ENSMUST00000193996.5	ENSMUST00000189686.6
ENSMUST00000193996.5	ENSMUST00000188564.6
ENSMUST00000208752.1	ENSMUST00000075630.9
ENSMUST00000208752.1	ENSMUST00000181584.1
ENSMUST00000215976.1	ENSMUST00000214610.1
ENSMUST00000215976.1	ENSMUST00000217640.1
ENSMUST00000215976.1	ENSMUST00000213855.1
ENSMUST00000151575.7	ENSMUST00000133333.1
ENSMUST00000190180.1	ENSMUST00000190933.6
ENSMUST00000190180.1	ENSMUST00000190486.6
ENSMUST00000078574.11	ENSMUST00000179600.7
ENSMUST00000179659.1	ENSMUST00000178220.1
ENSMUST00000195371.5	ENSMUST00000192589.1
ENSMUST00000183485.1	ENSMUST00000183642.1
ENSMUST00000197754.1	ENSMUST00000103584.3
ENSMUST00000189396.6	ENSMUST00000189024.1
ENSMUST00000190065.1	ENSMUST00000187498.1
ENSMUST00000238487.1	ENSMUST00000050258.8
ENSMUST00000179482.1	ENSMUST00000178158.1
ENSMUST00000103592.1	ENSMUST00000103618.1
ENSMUST00000179772.1	ENSMUST00000179408.2
ENSMUST00000190168.1	ENSMUST00000185321.1
ENSMUST00000190168.1	ENSMUST00000190319.1
ENSMUST00000196802.1	ENSMUST00000197614.1
ENSMUST00000192655.5	ENSMUST00000193523.5
ENSMUST00000179815.1	ENSMUST00000179561.1
ENSMUST00000179699.1	ENSMUST00000177681.1
ENSMUST00000178633.1	ENSMUST00000178022.1
ENSMUST00000178633.1	ENSMUST00000179315.1
ENSMUST00000178633.1	ENSMUST00000179050.1
ENSMUST00000178633.1	ENSMUST00000179913.1
ENSMUST00000178633.1	ENSMUST00000178507.1
ENSMUST00000178633.1	ENSMUST00000178009.1
ENSMUST00000178633.1	ENSMUST00000178265.1
ENSMUST00000191332.1	ENSMUST00000187821.1
ENSMUST00000180065.1	ENSMUST00000178850.1
ENSMUST00000177643.1	ENSMUST00000178300.1
ENSMUST00000190162.1	ENSMUST00000191017.1
ENSMUST00000190162.1	ENSMUST00000187760.1
ENSMUST00000190162.1	ENSMUST00000189587.1
ENSMUST00000179060.1	ENSMUST00000179887.1
ENSMUST00000179060.1	ENSMUST00000178677.1
ENSMUST00000179060.1	ENSMUST00000178128.1
ENSMUST00000190011.6	ENSMUST00000187292.6
ENSMUST00000179258.1	ENSMUST00000177792.1
ENSMUST00000190516.1	ENSMUST00000188422.1
ENSMUST00000179182.1	ENSMUST00000177758.1
ENSMUST00000212474.1	ENSMUST00000108948.7
ENSMUST00000192255.1	ENSMUST00000194516.1
ENSMUST00000193296.5	ENSMUST00000193405.5
ENSMUST00000193296.5	ENSMUST00000194669.5
ENSMUST00000193296.5	ENSMUST00000192092.5
ENSMUST00000168580.1	ENSMUST00000167253.1
ENSMUST00000162126.7	ENSMUST00000185479.1
ENSMUST00000186013.1	ENSMUST00000187258.1
ENSMUST00000186013.1	ENSMUST00000190289.1
ENSMUST00000204501.1	ENSMUST00000204814.1
ENSMUST00000204501.1	ENSMUST00000191987.1
ENSMUST00000127771.7	ENSMUST00000130714.7
ENSMUST00000127771.7	ENSMUST00000138319.1
ENSMUST00000147142.1	ENSMUST00000135491.1
ENSMUST00000188869.1	ENSMUST00000188550.1
ENSMUST00000189412.1	ENSMUST00000188357.1
ENSMUST00000106564.7	ENSMUST00000106566.1
ENSMUST00000084313.4	ENSMUST00000219094.1
ENSMUST00000034307.13	ENSMUST00000239487.1
ENSMUST00000190098.1	ENSMUST00000186906.6
ENSMUST00000190605.6	ENSMUST00000187958.1
ENSMUST00000185101.1	ENSMUST00000184215.1
ENSMUST00000185101.1	ENSMUST00000184365.1
ENSMUST00000185101.1	ENSMUST00000184975.1
ENSMUST00000185551.6	ENSMUST00000189580.1
ENSMUST00000185551.6	ENSMUST00000189142.1
ENSMUST00000185551.6	ENSMUST00000188268.1
ENSMUST00000185551.6	ENSMUST00000190302.6
ENSMUST00000185551.6	ENSMUST00000190939.6
ENSMUST00000191559.1	ENSMUST00000187508.1
ENSMUST00000191559.1	ENSMUST00000190842.1
ENSMUST00000180399.7	ENSMUST00000180602.7
ENSMUST00000192785.5	ENSMUST00000195453.5
ENSMUST00000186217.1	ENSMUST00000188018.1
ENSMUST00000104984.3	ENSMUST00000209720.1
ENSMUST00000105195.1	ENSMUST00000168392.1
ENSMUST00000114675.1	ENSMUST00000114672.1
ENSMUST00000224409.1	ENSMUST00000224591.1
ENSMUST00000071585.9	ENSMUST00000238942.1
ENSMUST00000238835.1	ENSMUST00000080647.4
ENSMUST00000178745.1	ENSMUST00000178152.1
ENSMUST00000178745.1	ENSMUST00000178966.1
ENSMUST00000178745.1	ENSMUST00000178672.1
ENSMUST00000178745.1	ENSMUST00000177917.1
ENSMUST00000178745.1	ENSMUST00000177566.1
ENSMUST00000178745.1	ENSMUST00000169396.2
ENSMUST00000191309.1	ENSMUST00000188732.1
ENSMUST00000191571.1	ENSMUST00000190745.1
ENSMUST00000191571.1	ENSMUST00000187451.1
ENSMUST00000191571.1	ENSMUST00000189716.1
ENSMUST00000191571.1	ENSMUST00000187275.1
ENSMUST00000188505.6	ENSMUST00000187696.6
ENSMUST00000185136.1	ENSMUST00000157729.2
ENSMUST00000186353.1	ENSMUST00000189512.1
ENSMUST00000109799.7	ENSMUST00000003370.13
ENSMUST00000195046.5	ENSMUST00000191798.1
ENSMUST00000198352.1	ENSMUST00000197757.1
ENSMUST00000131997.1	ENSMUST00000130478.1
ENSMUST00000131997.1	ENSMUST00000137981.1
ENSMUST00000131997.1	ENSMUST00000124814.1
ENSMUST00000131997.1	ENSMUST00000140946.7
ENSMUST00000183812.1	ENSMUST00000093738.2
ENSMUST00000183812.1	ENSMUST00000199460.1
ENSMUST00000183812.1	ENSMUST00000196353.1
ENSMUST00000191065.1	ENSMUST00000189026.1
ENSMUST00000183096.7	ENSMUST00000085809.10
ENSMUST00000118218.7	ENSMUST00000120314.7
ENSMUST00000200804.1	ENSMUST00000201462.1
ENSMUST00000185657.1	ENSMUST00000189745.1
ENSMUST00000193531.1	ENSMUST00000195101.1
ENSMUST00000192634.1	ENSMUST00000194757.1
ENSMUST00000239075.1	ENSMUST00000174211.7
ENSMUST00000187576.6	ENSMUST00000187206.1
ENSMUST00000219760.1	ENSMUST00000178998.2
ENSMUST00000222220.1	ENSMUST00000223351.1
ENSMUST00000177762.2	ENSMUST00000179851.2
ENSMUST00000163467.1	ENSMUST00000166645.1
ENSMUST00000233513.1	ENSMUST00000161110.1
ENSMUST00000178315.1	ENSMUST00000178040.1
ENSMUST00000079099.1	ENSMUST00000173484.1
ENSMUST00000191082.1	ENSMUST00000185723.1
ENSMUST00000191553.6	ENSMUST00000185550.6
ENSMUST00000219147.1	ENSMUST00000219565.1
ENSMUST00000206999.1	ENSMUST00000049113.13
ENSMUST00000178914.1	ENSMUST00000179630.1
ENSMUST00000178914.1	ENSMUST00000177645.1
ENSMUST00000187734.1	ENSMUST00000187965.1
ENSMUST00000187734.1	ENSMUST00000191423.1
ENSMUST00000187734.1	ENSMUST00000186231.1
ENSMUST00000191682.5	ENSMUST00000195186.1
ENSMUST00000190994.1	ENSMUST00000189689.1
ENSMUST00000185923.1	ENSMUST00000190423.1
ENSMUST00000144671.7	ENSMUST00000166729.1
ENSMUST00000119488.1	ENSMUST00000200267.1
ENSMUST00000221770.1	ENSMUST00000222252.1
ENSMUST00000185340.1	ENSMUST00000187165.1
ENSMUST00000052516.4	ENSMUST00000206410.2
ENSMUST00000194101.1	ENSMUST00000194618.1
ENSMUST00000194101.1	ENSMUST00000193270.1
ENSMUST00000194101.1	ENSMUST00000179070.2
ENSMUST00000194101.1	ENSMUST00000185282.1
ENSMUST00000105196.1	ENSMUST00000168926.1
ENSMUST00000195482.1	ENSMUST00000195871.1
ENSMUST00000183351.1	ENSMUST00000183613.1
ENSMUST00000239002.1	ENSMUST00000057974.3
ENSMUST00000190738.1	ENSMUST00000189453.1
ENSMUST00000002172.13	ENSMUST00000238832.1
ENSMUST00000184919.1	ENSMUST00000185129.1
ENSMUST00000188015.6	ENSMUST00000187026.1
ENSMUST00000179284.1	ENSMUST00000178050.1
ENSMUST00000179284.1	ENSMUST00000178519.1
ENSMUST00000179284.1	ENSMUST00000179522.1
ENSMUST00000179284.1	ENSMUST00000179219.1
ENSMUST00000121679.1	ENSMUST00000149567.1
ENSMUST00000188467.1	ENSMUST00000189193.1
ENSMUST00000199874.1	ENSMUST00000197693.1
ENSMUST00000177913.1	ENSMUST00000179486.1
ENSMUST00000188235.1	ENSMUST00000171360.2
ENSMUST00000098122.2	ENSMUST00000177785.2
ENSMUST00000222009.1	ENSMUST00000222981.1
ENSMUST00000178650.2	ENSMUST00000179607.2
ENSMUST00000189752.6	ENSMUST00000189600.1
ENSMUST00000187095.1	ENSMUST00000186763.6
ENSMUST00000186505.1	ENSMUST00000185934.1
ENSMUST00000186505.1	ENSMUST00000189599.1
ENSMUST00000217426.1	ENSMUST00000215627.1
ENSMUST00000175199.1	ENSMUST00000175509.1
ENSMUST00000175199.1	ENSMUST00000175632.1
ENSMUST00000178427.1	ENSMUST00000179020.1
ENSMUST00000178427.1	ENSMUST00000179567.1
ENSMUST00000178427.1	ENSMUST00000178365.1
ENSMUST00000178427.1	ENSMUST00000179356.1
ENSMUST00000100360.4	ENSMUST00000190283.6
ENSMUST00000180867.7	ENSMUST00000112758.9
ENSMUST00000187335.6	ENSMUST00000190956.6
ENSMUST00000187335.6	ENSMUST00000188462.1
ENSMUST00000187335.6	ENSMUST00000187047.6
ENSMUST00000187335.6	ENSMUST00000189645.6
ENSMUST00000225329.1	ENSMUST00000056047.13
ENSMUST00000192146.1	ENSMUST00000239155.1
ENSMUST00000057390.3	ENSMUST00000219412.1
ENSMUST00000219923.1	ENSMUST00000049584.5
ENSMUST00000194430.1	ENSMUST00000192695.1
ENSMUST00000194784.5	ENSMUST00000192820.5
ENSMUST00000189637.1	ENSMUST00000190248.1
ENSMUST00000189637.1	ENSMUST00000191119.6
ENSMUST00000191590.1	ENSMUST00000188431.1
ENSMUST00000178517.1	ENSMUST00000179184.1
ENSMUST00000178517.1	ENSMUST00000188029.1
ENSMUST00000178517.1	ENSMUST00000179714.1
ENSMUST00000178517.1	ENSMUST00000179962.1
ENSMUST00000103884.1	ENSMUST00000103868.1
ENSMUST00000183652.1	ENSMUST00000103587.3
ENSMUST00000193037.1	ENSMUST00000193352.1
ENSMUST00000167611.7	ENSMUST00000186022.6
ENSMUST00000169774.1	ENSMUST00000163096.1
ENSMUST00000080493.11	ENSMUST00000109088.7
ENSMUST00000169362.1	ENSMUST00000165814.1
ENSMUST00000180050.1	ENSMUST00000177914.1
ENSMUST00000103593.2	ENSMUST00000103619.2
ENSMUST00000186370.1	ENSMUST00000103590.3
ENSMUST00000189632.1	ENSMUST00000189366.1
ENSMUST00000239441.1	ENSMUST00000039892.8
ENSMUST00000098998.3	ENSMUST00000172025.1
ENSMUST00000185440.1	ENSMUST00000188591.1
ENSMUST00000191366.1	ENSMUST00000185491.1
ENSMUST00000191366.1	ENSMUST00000188397.1
ENSMUST00000186393.1	ENSMUST00000187438.1
ENSMUST00000101806.2	ENSMUST00000082922.1
ENSMUST00000238882.1	ENSMUST00000063278.6
ENSMUST00000179192.1	ENSMUST00000178960.1
ENSMUST00000179192.1	ENSMUST00000180347.1
ENSMUST00000179192.1	ENSMUST00000178533.1
