mgi_symbol,id,ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,strand,start_position,end_position,gene_biotype,M351WT,M352Mdmx,M371Mdmx,M380Mdmx,M383WT,M396WT,neglog10_padj,n_samples_above0,is_surface,CSPA_category,UP_Protein_name,CD
Dsg2,ENSMUSG00000044393.15,ENSMUSG00000044393,192.2761076,0.001281207,0.777671827,0.00164749,0.998685494,0.999626042,18,1,20558074,20604521,protein_coding,229.6196705,139.7216351,180.387285,259.8738667,56.80663705,290.2425328,0.000162438270302262,6,TRUE,1 - high confidence,Desmoglein-2,no
Ece1,ENSMUSG00000057530.14,ENSMUSG00000057530,3158.891647,0.742684975,0.361331981,2.055408913,0.039839525,0.36106168,4,1,137862237,137965229,protein_coding,2215.835719,5386.156157,4073.014919,2291.659375,2211.892666,2554.348829,0.442418601430952,6,TRUE,1 - high confidence,Endothelin-converting enzyme 1,no
Ecm1,ENSMUSG00000028108.15,ENSMUSG00000028108,694.9166852,-0.244691274,0.608700985,-0.401989285,0.687691912,0.942506403,3,-1,95734147,95739569,protein_coding,966.1139536,1209.749248,393.6191859,335.0827572,671.6938626,642.5371768,0.0257156906944541,6,TRUE,1 - high confidence,Extracellular matrix protein 1,no
Edem3,ENSMUSG00000043019.12,ENSMUSG00000043019,1015.283457,-0.233700923,0.271511284,-0.860741108,0.389380647,0.817848656,1,1,151755371,151822051,protein_coding,1114.844641,862.2637611,877.3653488,1037.630699,1244.451196,886.256308,0.0873270556748985,6,TRUE,3 - unspecific,ER degradation-enhancing alpha-mannosidase-like 3,no
Eef1e1,ENSMUSG00000001707.8,ENSMUSG00000001707,5512.006395,0.076536467,0.205657886,0.372154301,0.709777969,0.946033988,13,-1,38644207,38659058,protein_coding,4938.36909,5498.124193,6557.886518,4736.952688,5706.70395,5186.969947,0.0240932604949373,6,TRUE,3 - unspecific,Eukaryotic translation elongation factor 1 epsilon-1,no
Eef2,ENSMUSG00000034994.10,ENSMUSG00000034994,74431.15207,-0.276900326,0.202657915,-1.366343503,0.171831173,0.629469936,10,1,81176631,81182498,protein_coding,85104.80135,64810.20318,55526.39057,81677.19731,77632.19437,80524.67351,0.201025007321165,6,TRUE,3 - unspecific,Elongation factor 2,no
Efnb1,ENSMUSG00000031217.8,ENSMUSG00000031217,68.041216,-0.344390653,1.102084218,-0.312490323,0.754667917,0.955308116,X,1,99136130,99148991,protein_coding,148.5953182,49.61457815,105.1932335,25.0023058,56.28433082,22.0008288,0.0198565326080165,6,TRUE,1 - high confidence,Ephrin-B1,no
Eif2s2,ENSMUSG00000074656.12,ENSMUSG00000074656,17934.27786,0.052200694,0.245571151,0.212568511,0.831663535,0.972419636,2,-1,154871410,154892935,protein_coding,13903.34295,18783.21822,19410.78878,16563.15977,22559.01593,16033.78759,0.0121462800628181,6,TRUE,3 - unspecific,Eukaryotic translation initiation factor 2 subunit 2,no
Emb,ENSMUSG00000021728.8,ENSMUSG00000021728,4189.967256,0.864415309,0.210830267,4.100053184,4.13e-05,0.006627658,13,1,117208536,117274415,protein_coding,3062.789946,5209.667184,6220.791672,4964.8343,3320.516919,2567.741456,2.17863991011162,6,TRUE,1 - high confidence,Embigin,no
Emid1,ENSMUSG00000034164.17,ENSMUSG00000034164,231.5960566,-0.081667651,1.296516672,-0.062990051,0.949774427,0.991823516,11,-1,5106265,5152257,protein_coding,228.9651333,2.907984648,210.7836386,513.7505077,341.1235494,195.430334,0.00356559886003028,6,TRUE,1 - high confidence,EMI domain-containing protein 1,no
Emilin1,ENSMUSG00000029163.9,ENSMUSG00000029163,1207.823674,0.729137979,0.266354024,2.737476867,0.006191247,0.148170192,5,1,30913402,30921277,protein_coding,849.4853203,1501.733245,1448.89143,1977.853088,1052.645672,1053.932179,0.829239156356513,6,TRUE,1 - high confidence,EMILIN-1,no
Emilin2,ENSMUSG00000024053.11,ENSMUSG00000024053,1204.565807,-0.04533152,0.542586081,-0.083547148,0.93341649,0.989955952,17,-1,71252172,71311978,protein_coding,1570.842229,932.6750076,723.5425386,1556.30146,492.3458855,1232.433524,0.00438412886600766,6,TRUE,1 - high confidence,EMILIN-2,no
Emp1,ENSMUSG00000030208.15,ENSMUSG00000030208,182.3566186,3.11554875,1.540043802,2.023026063,0.043070461,0.37447962,6,1,135362545,135383173,protein_coding,58.42536948,219.6054865,682.667875,76.03507411,53.74646898,0,0.426571812577012,5,TRUE,2 - putative,Epithelial membrane protein 1,no
Emp2,ENSMUSG00000022505.9,ENSMUSG00000022505,31.18194631,-2.883978779,1.595628681,-1.807424756,0.070696077,0.448440524,16,-1,10281749,10313968,protein_coding,146.6314808,13.25818566,3.821488893,5.284412561,11.19547512,6.402962453,0.348295148632005,6,TRUE,2 - putative,Epithelial membrane protein 2,no
Eng,ENSMUSG00000026814.16,ENSMUSG00000026814,4044.895205,-0.483744154,0.541924166,-0.892641783,0.372049036,0.808453737,2,1,32646595,32682669,protein_coding,3945.385005,3002.591389,1282.886826,6177.797756,4954.9221,5640.356449,0.0923448271372603,6,TRUE,1 - high confidence,Endoglin,CD105
Eno1,ENSMUSG00000063524.13,ENSMUSG00000063524,27155.16565,-0.143837338,0.340127874,-0.422891943,0.672374101,0.937955325,4,1,150236721,150248879,protein_coding,39575.67927,25023.03032,19357.39853,32315.30032,20211.6317,24381.99553,0.0278178466614844,6,TRUE,1 - high confidence,Alpha-enolase,no
Enpp1,ENSMUSG00000037370.13,ENSMUSG00000037370,971.9290606,-1.458075452,1.031158148,-1.414017293,0.157356825,0.605251532,10,-1,24637914,24712159,protein_coding,2461.283578,160.6669283,145.0364389,1299.03015,1667.071852,242.2777116,0.218064102607743,6,TRUE,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,CD203a
Enpp3,ENSMUSG00000019989.8,ENSMUSG00000019989,85.8228933,-3.026587364,1.417287985,-2.135478036,0.032721982,0.329789002,10,-1,24772406,24842823,protein_coding,92.28146584,1.97561614,1.99215135,51.28574513,214.8034884,136.9677891,0.481763831560978,6,TRUE,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,CD203c
Enpp4,ENSMUSG00000023961.16,ENSMUSG00000023961,1857.296375,-0.222134206,0.354470294,-0.626665223,0.530878704,0.892479179,17,-1,44096308,44105809,protein_coding,1505.270293,1283.494209,2066.613278,1799.49865,1757.947674,2714.2949,0.0494019069254435,6,TRUE,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 4,no
Enpp5,ENSMUSG00000023960.13,ENSMUSG00000023960,3357.688605,0.282458001,0.334077569,0.845486279,0.39783939,0.822968257,17,1,44078813,44086567,protein_coding,3544.624716,3811.471996,2819.712426,4548.01976,3512.884793,2070.795387,0.0846169157908946,6,TRUE,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,no
Entpd1,ENSMUSG00000048120.16,ENSMUSG00000048120,1558.617416,-0.26985593,0.97714682,-0.276167229,0.782419626,0.961928091,19,1,40612366,40741602,protein_coding,3992.39317,1778.110718,633.946467,1539.923784,550.3417115,177.5536269,0.0168573924623519,6,TRUE,2 - putative,Ectonucleoside triphosphate diphosphohydrolase 1,CD39
Entpd2,ENSMUSG00000015085.8,ENSMUSG00000015085,48.65396268,-1.171349088,2.434959008,-0.481054952,0.630477444,0.925255601,2,1,25395874,25401321,protein_coding,24.03740025,0,0,89.99162916,36.69437329,141.2752512,0.0337382772395724,4,TRUE,2 - putative,Ectonucleoside triphosphate diphosphohydrolase 2,no
Entpd7,ENSMUSG00000025192.13,ENSMUSG00000025192,974.8506365,-0.45066689,0.313880063,-1.435793294,0.151061169,0.594347547,19,1,43689672,43733697,protein_coding,1354.207892,811.429004,1049.284004,717.9647066,935.3861919,1214.845631,0.225959525380783,6,TRUE,2 - putative,Ectonucleoside triphosphate diphosphohydrolase 7,no
Epcam,ENSMUSG00000045394.9,ENSMUSG00000045394,503.6983666,-0.837845779,0.942222514,-0.889222839,0.373883331,0.80882988,17,1,87635979,87651129,protein_coding,1377.906697,126.4049881,424.7377811,537.9717801,438.4020277,114.7829011,0.0921428133030325,6,TRUE,1 - high confidence,Epithelial cell adhesion molecule,CD326
Epdr1,ENSMUSG00000002808.7,ENSMUSG00000002808,4363.965774,-1.085549276,0.310909111,-3.491532538,0.000480258,0.036854579,13,-1,19591706,19619927,protein_coding,7838.807758,2684.535897,2289.908426,3487.853923,4562.39549,5442.96028,1.43350854550131,6,TRUE,1 - high confidence,Mammalian ependymin-related protein 1,no
Epha1,ENSMUSG00000029859.6,ENSMUSG00000029859,32.77032891,-3.991121129,2.201023734,-1.813302178,0.069785228,0.445263179,6,-1,42358487,42373268,protein_coding,72.78111699,12.11232385,0,0.86689287,132.4837684,0.656293561,0.351383217328453,5,TRUE,1 - high confidence,Ephrin type-A receptor 1,no
Epha4,ENSMUSG00000026235.14,ENSMUSG00000026235,18.38764999,-6.650923152,2.333844708,-2.849771079,0.004375071,0.125572238,1,-1,77367185,77515088,protein_coding,38.89403158,0,0,0.553988919,21.76976463,1.880669979,0.901106365504076,4,TRUE,1 - high confidence,Ephrin type-A receptor 4,no
Ephb2,ENSMUSG00000028664.14,ENSMUSG00000028664,9.016312637,-2.589685992,3.766083026,-0.687633803,0.491683416,0.875988401,4,-1,136647539,136835988,protein_coding,40.8432334,0,7.151684961,0,2.210197584,0,0.0575016443057156,3,TRUE,1 - high confidence,Ephrin type-B receptor 2,no
Ephb4,ENSMUSG00000029710.15,ENSMUSG00000029710,112.8735373,-5.646482123,1.375875624,-4.103919007,4.06e-05,0.006604886,5,1,137350109,137378669,protein_coding,117.6950774,12.30196721,0,1.053033241,262.2102474,280.7573054,2.18013467388567,5,TRUE,1 - high confidence,Ephrin type-B receptor 4,no
Eprs,ENSMUSG00000026615.14,ENSMUSG00000026615,19600.30837,-0.125084491,0.192437484,-0.650000653,0.5156918,0.88607492,1,1,185363044,185428360,protein_coding,19285.97786,21172.73109,15680.59143,19564.56193,22506.99025,19354.37565,0.0525295558025815,6,TRUE,3 - unspecific,Bifunctional aminoacyl-tRNA synthetase [Includes: Glutamyl-tRNA synthetase,no
Erbb3,ENSMUSG00000018166.8,ENSMUSG00000018166,261.7585812,0.095798735,1.354536496,0.070724366,0.943617128,0.991341265,10,-1,128567523,128589652,protein_coding,161.8676779,615.1682414,2.086533508,196.140464,237.3696557,357.3778603,0.0037768157536814,6,TRUE,1 - high confidence,Receptor tyrosine-protein kinase erbB-3,no
Ergic2,ENSMUSG00000030304.11,ENSMUSG00000030304,5276.015736,-0.35941738,0.262221406,-1.370663771,0.170479794,0.627637181,6,-1,148179079,148212374,protein_coding,5021.092913,3855.217221,5861.048629,3853.236079,5938.104662,6355.596397,0.202291336874718,6,TRUE,3 - unspecific,Endoplasmic reticulum-Golgi intermediate compartment protein 2,no
Ermp1,ENSMUSG00000046324.12,ENSMUSG00000046324,1395.414727,-0.928534527,0.397845414,-2.333907828,0.019600549,0.265349711,19,-1,29608214,29648415,protein_coding,1254.717478,937.0511603,607.0802085,1214.40634,1711.918631,2254.815134,0.576181381036946,6,TRUE,2 - putative,Endoplasmic reticulum metallopeptidase 1,no
Ero1l,ENSMUSG00000021831.9,ENSMUSG00000021831,2444.1656,0.570283148,0.535706562,1.064543891,0.287082382,0.749082887,14,-1,45283087,45318771,protein_coding,3106.642508,3393.140395,4248.079633,1711.971599,2199.638291,948.521697,0.125470124389892,6,TRUE,3 - unspecific,ERO1-like protein alpha,no
Ero1lb,ENSMUSG00000057069.7,ENSMUSG00000057069,1287.701376,-0.650620093,0.796293871,-0.817060279,0.413893981,0.832386129,13,1,12565874,12611396,protein_coding,3413.467983,1168.549504,869.5467461,780.46589,582.3506465,391.2409397,0.0796751655446868,6,TRUE,3 - unspecific,ERO1-like protein beta,no
Esam,ENSMUSG00000001946.14,ENSMUSG00000001946,2127.261212,0.022397133,0.363953328,0.061538475,0.950930374,0.991948306,9,1,37528078,37538319,protein_coding,2481.071103,2996.313397,1751.138457,1526.465881,1674.230577,1982.917626,0.00351095990622807,6,TRUE,1 - high confidence,Endothelial cell-selective adhesion molecule,no
Evc2,ENSMUSG00000050248.11,ENSMUSG00000050248,126.5734971,1.300674506,1.719773766,0.756305586,0.449466,0.853707279,5,1,37338499,37425055,protein_coding,109.1317402,290.3132044,240.5178454,0,84.74537783,20.01521212,0.0686910156193753,5,TRUE,1 - high confidence,Limbin,no
Extl3,ENSMUSG00000021978.9,ENSMUSG00000021978,710.4194684,-0.434516248,0.51961082,-0.836234026,0.40302326,0.826878255,14,-1,65052060,65149855,protein_coding,781.2684582,710.3694167,759.3840813,346.7033437,1166.885593,490.3638507,0.0825584288681139,6,TRUE,2 - putative,Exostosin-like 3,no
F11r,ENSMUSG00000038235.4,ENSMUSG00000038235,1379.459302,-0.316900681,0.574364899,-0.55174103,0.581125795,0.910626154,1,1,171437535,171464603,protein_coding,1764.93573,2163.444941,470.7902454,966.8124531,1237.534948,1454.496892,0.0406598805216084,6,TRUE,1 - high confidence,Junctional adhesion molecule A,CD321
F2r,ENSMUSG00000048376.6,ENSMUSG00000048376,3173.912474,-0.405990751,0.362705858,-1.11933883,0.262995616,0.724006765,13,-1,95601803,95618487,protein_coding,4858.9199,2003.215063,3641.465459,2552.136951,2693.655789,3243.312313,0.140257375807765,6,TRUE,1 - high confidence,Proteinase-activated receptor 1,no
F5,ENSMUSG00000026579.8,ENSMUSG00000026579,230.1979658,3.066954568,2.244868838,1.366206575,0.171874134,0.629469936,1,1,164151838,164220277,protein_coding,146.1644317,112.7035487,1082.286695,38.45852444,0,0,0.201025007321165,4,TRUE,1 - high confidence,Coagulation factor V,no
Fas,ENSMUSG00000024778.13,ENSMUSG00000024778,101.6803787,-0.32345298,1.661765164,-0.194644218,0.845671484,0.975562203,19,1,34290666,34327772,protein_coding,71.61321986,174.5924051,0,99.07182033,207.5468516,60.71362405,0.0107450342567478,5,TRUE,1 - high confidence,Tumor necrosis factor receptor superfamily member 6,CD95
Fbn1,ENSMUSG00000027204.13,ENSMUSG00000027204,36.11143503,-8.600240103,2.637524732,-3.260723965,0.001111282,0.060351143,2,-1,125300594,125507993,protein_coding,139.4735799,0,0,0,74.62903823,0.817281366,1.21931450031573,3,TRUE,1 - high confidence,Fibrillin-1,no
Fcer1a,ENSMUSG00000005339.10,ENSMUSG00000005339,855.7446075,0.597799591,0.733749024,0.814719436,0.415232925,0.832974703,1,-1,173221284,173227214,protein_coding,169.4777717,1196.369019,1379.98923,527.0377866,1170.358755,699.6943744,0.0793681876860477,6,TRUE,1 - high confidence,High affinity immunoglobulin epsilon receptor subunit alpha,no
Fcgrt,ENSMUSG00000003420.8,ENSMUSG00000003420,1524.805171,-0.280785525,0.367465307,-0.76411438,0.444799084,0.849298589,7,-1,45092990,45103851,protein_coding,2137.811888,1412.146598,1328.886303,1271.04143,1727.328819,976.5678144,0.0709395974388693,6,TRUE,1 - high confidence,IgG receptor FcRn large subunit p51,no
Fgfr1,ENSMUSG00000031565.18,ENSMUSG00000031565,252.726121,-0.668257718,1.011429259,-0.660706334,0.508800661,0.883240398,8,1,25513654,25575718,protein_coding,289.1801589,239.0616322,304.3207369,14.73888984,205.0754059,388.699017,0.0539210752271474,6,TRUE,1 - high confidence,Basic fibroblast growth factor receptor 1,CD331
Fgfrl1,ENSMUSG00000008090.14,ENSMUSG00000008090,281.0837727,-0.159870527,0.826728353,-0.193377336,0.846663464,0.975805206,5,1,108692382,108706924,protein_coding,393.475419,356.4488658,62.20102414,384.8642047,149.4402273,349.840973,0.0106368692212504,6,TRUE,1 - high confidence,Fibroblast growth factor receptor-like 1,no
Fkbp9,ENSMUSG00000029781.7,ENSMUSG00000029781,1502.893028,0.678452074,0.474447754,1.429982689,0.152721988,0.597350267,6,1,56832059,56879358,protein_coding,1268.520988,2305.935515,2367.664458,880.8769098,1352.2039,827.676229,0.223770937852676,6,TRUE,3 - unspecific,Peptidyl-prolyl cis-trans isomerase FKBP9,no
Fkrp,ENSMUSG00000048920.8,ENSMUSG00000048920,698.2300807,-0.762404157,0.370601118,-2.057209545,0.039666074,0.36064711,7,-1,16809246,16816732,protein_coding,1103.847164,661.9728724,488.074506,404.8725478,742.0052148,775.2699862,0.442917543623871,6,TRUE,1 - high confidence,Fukutin-related protein,no
Flt4,ENSMUSG00000020357.3,ENSMUSG00000020357,42.55998419,1.187372229,3.187087825,0.37255711,0.7094781,0.946033988,11,1,49609263,49652739,protein_coding,77.3192539,0,128.3472545,49.0409031,0,0,0.0240932604949373,3,TRUE,1 - high confidence,Vascular endothelial growth factor receptor 3,no
Fn1,ENSMUSG00000026193.15,ENSMUSG00000026193,127.9164025,-0.246442008,0.670159844,-0.36773616,0.713069975,0.946033988,1,-1,71585520,71653200,protein_coding,84.66552309,84.1815396,88.78092366,174.1555243,169.3946651,155.0230936,0.0240932604949373,6,TRUE,1 - high confidence,Fibronectin,no
Fndc4,ENSMUSG00000038552.14,ENSMUSG00000038552,29.57925757,-0.218207612,1.973554834,-0.110565771,0.911960692,0.988260837,5,-1,31292242,31296080,protein_coding,0,30.75213549,44.80103544,5.052992821,74.54376839,18.3861089,0.00512841460351393,5,TRUE,1 - high confidence,Fibronectin type III domain-containing protein 4,no
Fstl1,ENSMUSG00000022816.11,ENSMUSG00000022816,1267.699739,1.222753537,0.568599656,2.150464784,0.031518469,0.323142088,16,1,37776873,37836514,protein_coding,828.1327489,2669.221281,2866.030061,806.9419562,1263.261413,610.085875,0.490606473131396,6,TRUE,1 - high confidence,Follistatin-related protein 1,no
Fut10,ENSMUSG00000046152.16,ENSMUSG00000046152,760.1760924,0.522548197,0.540351133,0.967053024,0.333517527,0.78409382,8,1,31187331,31261738,protein_coding,347.1297543,1302.361196,604.4628528,731.0507547,532.2696908,947.1501966,0.105631969113377,6,TRUE,3 - unspecific,"Alpha-(1,3)-fucosyltransferase 10",no
Fzd5,ENSMUSG00000045005.9,ENSMUSG00000045005,81.69817797,1.575393088,1.131350082,1.39248948,0.163774225,0.616498233,1,-1,64730558,64737751,protein_coding,42.2184349,83.68459358,73.90328885,180.3959139,65.92606894,4.50360343,0.210068163836213,6,TRUE,1 - high confidence,Frizzled-5,no
Gaa,ENSMUSG00000025579.14,ENSMUSG00000025579,2414.876044,-0.502186996,0.393228324,-1.277087548,0.20157134,0.663403276,11,1,119267887,119285454,protein_coding,3546.644134,2320.039859,1193.016303,2525.41884,2856.714172,2089.754737,0.178222388190052,6,TRUE,2 - putative,Lysosomal alpha-glucosidase,no
Gabbr1,ENSMUSG00000024462.17,ENSMUSG00000024462,66.90224161,-0.569667129,0.858717303,-0.663393094,0.507078827,0.882528416,17,1,37045966,37075067,protein_coding,59.78828564,35.30292055,68.28929934,58.95256917,136.4259802,44.56714991,0.0542713021290159,6,TRUE,1 - high confidence,Gamma-aminobutyric acid type B receptor subunit 1,no
Gal3st3,ENSMUSG00000047658.6,ENSMUSG00000047658,39.62666077,0.744798763,1.462125979,0.509394384,0.610475812,0.918689589,19,1,5298331,5308738,protein_coding,31.41295651,126.0783631,12.48145785,10.57924936,49.55532811,7.325809198,0.0368312052155511,6,TRUE,3 - unspecific,Galactose-3-O-sulfotransferase 3,no
Galnt1,ENSMUSG00000000420.15,ENSMUSG00000000420,4380.600605,0.298780702,0.347441265,0.859945931,0.389818848,0.817848656,18,1,24205344,24286818,protein_coding,2983.880953,3205.136066,6562.12697,4624.398302,4043.201676,4613.624879,0.0873270556748985,6,TRUE,1 - high confidence,Polypeptide N-acetylgalactosaminyltransferase 1,no
Gapdh,ENSMUSG00000057666.18,ENSMUSG00000057666,10468.34321,0.141896657,0.239052102,0.593580461,0.552792752,0.898490947,6,-1,125161715,125166467,protein_coding,10003.72448,9590.631087,13054.90684,12681.37437,8970.353742,12874.72692,0.0464862943900123,6,TRUE,3 - unspecific,Glyceraldehyde-3-phosphate dehydrogenase,no
Gapdhs,ENSMUSG00000061099.12,ENSMUSG00000061099,34.61221683,0.554586908,1.208273364,0.458991255,0.646240446,0.931113785,7,-1,30729775,30743681,protein_coding,36.46428643,43.47777047,36.92578821,43.55509118,3.975250286,43.51081172,0.0309972436393944,6,TRUE,3 - unspecific,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",no
Gart,ENSMUSG00000022962.15,ENSMUSG00000022962,9983.352945,-0.355991607,0.247236529,-1.439882724,0.149900582,0.592917516,16,-1,91621186,91646952,protein_coding,9496.467494,9084.174192,6470.600612,10282.66771,11361.02047,12018.83446,0.227005719515419,6,TRUE,3 - unspecific,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,no
Gba,ENSMUSG00000028048.11,ENSMUSG00000028048,3534.598186,-0.563548748,0.251244691,-2.243027487,0.024895042,0.295890567,3,1,89202928,89208966,protein_coding,4796.764466,2788.336651,2343.926789,3614.481684,4115.877001,3934.260769,0.528868879939565,6,TRUE,3 - unspecific,Glucosylceramidase,no
Gdf3,ENSMUSG00000030117.5,ENSMUSG00000030117,2297.619102,-0.335391489,0.388562702,-0.863159247,0.388049917,0.817560559,6,-1,122605403,122610087,protein_coding,1815.601032,1541.382802,1709.140888,2860.083217,2417.083699,3437.900425,0.0874800680677596,6,TRUE,1 - high confidence,Growth/differentiation factor 3,no
Gfap,ENSMUSG00000020932.14,ENSMUSG00000020932,39.41262346,1.783145543,2.704180852,0.659403213,0.509636879,0.883240398,11,-1,102887336,102900912,protein_coding,8.593915525,0,0,91.96042987,0.967422568,17.03239102,0.0539210752271474,4,TRUE,3 - unspecific,Glial fibrillary acidic protein,no
Ggh,ENSMUSG00000073987.4,ENSMUSG00000073987,880.3227411,-0.155379704,0.300247514,-0.517505381,0.604803413,0.916934778,4,1,20042052,20066750,protein_coding,797.4671747,708.7967919,1036.72219,755.0648081,973.8382047,997.744248,0.0376615548011673,6,TRUE,1 - high confidence,Gamma-glutamyl hydrolase,no
Ggt5,ENSMUSG00000006344.17,ENSMUSG00000006344,408.8317393,0.68470081,0.690497823,0.991604589,0.32139045,0.775590506,10,1,75589340,75617200,protein_coding,404.2998249,626.6969288,619.5059248,226.3507404,384.225224,121.2839713,0.110367515757653,6,TRUE,3 - unspecific,Gamma-glutamyltransferase 5,no
Glce,ENSMUSG00000032252.14,ENSMUSG00000032252,529.5130176,0.032436562,0.668148049,0.048546967,0.961280334,0.993387218,9,-1,62057248,62122655,protein_coding,289.6108339,340.4628872,262.0069637,935.1893772,460.3469959,746.018466,0.00288143240983223,6,TRUE,3 - unspecific,D-glucuronyl C5-epimerase,no
Glg1,ENSMUSG00000003316.14,ENSMUSG00000003316,3446.489198,0.117919321,0.456217316,0.258471822,0.796042793,0.964338146,8,-1,111154421,111259216,protein_coding,4037.994234,3921.211744,2189.635704,4698.708071,1718.077733,4147.630373,0.0157706536578934,6,TRUE,1 - high confidence,Golgi apparatus protein 1,no
Glt8d1,ENSMUSG00000021916.16,ENSMUSG00000021916,1026.180545,-0.19243225,0.50066446,-0.384353725,0.700716293,0.944239625,14,1,31001400,31011991,protein_coding,1110.391026,1182.617996,574.8536321,1145.778803,1567.515588,615.3156757,0.0249177783617069,6,TRUE,3 - unspecific,Glycosyltransferase 8 domain-containing protein 1,no
Gnptab,ENSMUSG00000035311.16,ENSMUSG00000035311,1789.646884,0.55987364,0.410117659,1.3651537,0.172204747,0.629705492,10,1,88379132,88447329,protein_coding,1280.104269,1262.842116,3001.333011,1735.79317,1641.929273,1124.78215,0.200862518965853,6,TRUE,2 - putative,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta,no
Gns,ENSMUSG00000034707.7,ENSMUSG00000034707,1203.050467,-0.657588942,0.36013844,-1.825933779,0.067860237,0.442627944,10,1,121365090,121397249,protein_coding,1700.114464,967.6348308,634.7799526,1262.358651,1510.751583,1279.319495,0.353961171651618,6,TRUE,3 - unspecific,N-acetylglucosamine-6-sulfatase,no
Golm1,ENSMUSG00000021556.12,ENSMUSG00000021556,3161.754037,-1.688446246,0.488205271,-3.458476068,0.000543241,0.03953895,13,-1,59634626,59675811,protein_coding,3427.417538,1232.691265,757.7359449,2534.441083,5416.679867,5656.139124,1.4029748680335,6,TRUE,3 - unspecific,Golgi membrane protein 1,no
Gp5,ENSMUSG00000047953.7,ENSMUSG00000047953,1027.558054,-0.565048977,0.929764901,-0.607733177,0.543364455,0.894947289,16,-1,30307685,30310779,protein_coding,1459.543061,1881.718594,99.79662467,509.7541648,538.5930659,1664.671852,0.0482025431986989,6,TRUE,1 - high confidence,Platelet glycoprotein V,CD42d
Gp9,ENSMUSG00000030054.4,ENSMUSG00000030054,450.4481112,-0.080354275,0.823491369,-0.097577555,0.922267748,0.988607772,6,1,87778072,87779768,protein_coding,391.7362788,602.5055228,628.4089816,81.83699583,276.049672,713.9151576,0.00497597962939372,6,TRUE,1 - high confidence,Platelet glycoprotein IX,CD42a
Gpc1,ENSMUSG00000034220.7,ENSMUSG00000034220,178.1116954,0.281699061,1.727216152,0.163094272,0.87044421,0.980117403,1,1,92831645,92860779,protein_coding,271.8070956,519.9830675,65.66930573,1.92310399,2.9089687,205.4744482,0.00872189938793466,6,TRUE,1 - high confidence,Glypican-1 [Cleaved into: Secreted glypican-1],no
Gpc3,ENSMUSG00000055653.13,ENSMUSG00000055653,344.3341653,1.266336767,1.174983426,1.077748621,0.281145954,0.7441728,X,-1,52272426,52613950,protein_coding,287.9042835,533.7401379,603.0033199,324.2471396,3.873598622,312.733213,0.12832620777026,6,TRUE,1 - high confidence,Glypican-3 [Cleaved into: Secreted glypican-3],no
Gpc4,ENSMUSG00000031119.4,ENSMUSG00000031119,402.050409,-0.213809748,0.692234206,-0.308869089,0.757421111,0.955328191,X,-1,52053021,52165252,protein_coding,449.5686828,267.7566787,135.3185021,715.7244908,389.5845432,450.429411,0.0198474063690849,6,TRUE,1 - high confidence,Glypican-4,no
Gpm6a,ENSMUSG00000031517.8,ENSMUSG00000031517,297.7357932,-0.75122563,1.939659736,-0.387297636,0.698535876,0.943521074,8,1,54954843,55060871,protein_coding,785.1124157,2.066863998,311.3384515,352.8515321,326.9849003,0,0.0252483952131992,5,TRUE,1 - high confidence,Neuronal membrane glycoprotein M6-a,no
Gria3,ENSMUSG00000001986.16,ENSMUSG00000001986,877.0936623,1.408022528,0.711281087,1.979558509,0.047753159,0.390657361,X,1,41400854,41678601,protein_coding,523.4338322,2132.680247,1136.960271,439.878429,675.2302354,189.116698,0.408203988040536,6,TRUE,1 - high confidence,Glutamate receptor 3,no
Grn,ENSMUSG00000034708.11,ENSMUSG00000034708,4242.704454,0.384926755,0.510871894,0.753470214,0.451167404,0.854275351,11,1,102430315,102437048,protein_coding,6352.373702,4026.730007,7355.457054,3329.151984,2509.934768,2327.795465,0.0684021244565642,6,TRUE,1 - high confidence,Granulins,no
Gusb,ENSMUSG00000025534.17,ENSMUSG00000025534,7202.675099,-0.588597554,0.304273974,-1.9344328,0.053059937,0.404743038,5,-1,129989011,130003049,protein_coding,8270.155625,4824.611486,4305.969245,8206.925642,8473.364458,9173.708485,0.392820612825823,6,TRUE,3 - unspecific,Beta-glucuronidase,no
Gxylt1,ENSMUSG00000036197.16,ENSMUSG00000036197,614.6883309,-0.658621676,0.502345659,-1.311092602,0.18982648,0.64947874,15,-1,93239742,93275179,protein_coding,497.1007048,250.4907083,480.6160072,646.323575,880.311941,785.0179271,0.187435060529062,6,TRUE,3 - unspecific,Glucoside xylosyltransferase 1,no
Gzma,ENSMUSG00000023132.8,ENSMUSG00000023132,101.8276671,1.534015704,2.457909987,0.624113866,0.532552808,0.89297658,13,-1,113093825,113100981,protein_coding,6.087089908,348.7047826,104.1857202,0,0,149.9651216,0.0491599311564079,4,TRUE,1 - high confidence,Granzyme A,no
